,POOL_NAME,POOL_ADDRESS
137,Bil/WAVAX,0x518e5fad6febb2203fadd611512a441f716e74b5
138,NEWO/WAVAX,0xcb50e3be938244f54d8596093fe75560fdf446b6
139,SHIB.e/WAVAX,0x33a0825d4f7374ccdfb52524cd3f8cb8398280be
140,EROS/DAI.e,0x7a6f4ce1180f0ff874a2a31141f85d5ec1b8149d
141,LVL/WAVAX,0x024b853ed4cb80f57b9e3989c0f4bd416a995861
142,WAL/WAVAX,0x41997150ef38a3091f5fa3191f529e1f0cfac1e3
143,QI/WAVAX,0x2cbec2f846daefa8c1f5c3e12dcb56ee41a5750f
144,AMPL/USDC.e,0xef0918db71dce3735da2b1ed097cbb380bdafde8
145,GRT.e/WAVAX,0xe41f8117d6828482d4797bd305eac7159dcbc10c
146,WAVAX/PER,0x673439dce4d22c0ea9abef985c4aac036b7d561e
147,JOE/WAVAX,0xb73c30c2741b8c62730b58b10ceaa55bddda7327
148,WAVAX/TOURN,0xb346ab8d4261a7ae855448fe456b7e36bc64b69b
149,GED/DAI.e,0xedda14aeedb9e607dce88aaf91d079de66f3ace0
150,TITANO/WAVAX,0x9f10f842145dd5354a28cb16b7d5f946232d66e0
151,VOID/WAVAX,0x8ed9dd1986546fbf5ee6ebbdec934a24074fd3fa
152,GTPS/WETH.e,0x15b20146f1c74ae9eb863c4f772f307342f3750e
153,WETH.e/SPELL,0xfee7a0fd5cde5e3fb0e0bd30026547715ab7450d
154,TOURN/WAVAX,0x349495df940d3b42e7132215ff654564a8bdf3ca
155,WBTC/WAVAX,0xae0ffc93315a5215047ded27880ac50a537e0a2e
156,WETH.e/USDC,0xd57a18913f6b7e96225f9ba317f4249663df29ce
157,BSGG/DAI.e,0xc8990fd4ed2995c7e7e58eac2afa7f6c6258a786
158,USDT/ETH,0xb40a3c121074b4cbc9e366da64bd0e7a3510e5e6
159,PXT2/WAVAX,0x2d83ce7e3781e2e08622fd1cdfabb65af3fa4f58
160,STORM/WAVAX,0x801a6792604f83485e4993047e7508063c04d605
161,ZRX.e/WAVAX,0x6066f756b0726ac832ff14b07ffaeb49616ed173
162,AMPL/TIC,0x0dc71d8f097db80cd203fd5cc6d2c6a90489a66a
163,ODDZ/WAVAX,0xa21b89642a158b6b5f7c5428a49abc62c5db6860
164,COOK/WAVAX,0xac193a657065571bcb000c3d45857e453bfa2e6b
165,wMEMO/WETH.e,0xd311cb6617f0703d9dd81c88f3aaaf9fa3c0468d
166,ACME/WAVAX,0xa980deafc4b206fc6f3f28a40e8f3a18eeb0c4c7
167,wMEMO/TIME,0xde687f9aad2c5033b84d62281241ebb0ee055f62
168,LINK.e/WAVAX,0xf34b86ddab4b7d0fb5269b074d8bd2de397d2ddc
169,WAVAX/OTK,0x45f4e85d325f55c1d395d0424abe3565709d5920
170,WAVAX/FRAX,0xb0f5ac7c69c582aa8f5df254717ef547d6e4ac0e
171,MIM/STBL,0x320f2d7eab9d8aa30337f71a6e5e3fdf2e749c2c
172,SUSHI.e/ACME,0xab7ca7619d7a884b152c13bf6f88fc9d4ebfb621
173,wMEMO/BIT,0x48c82d8bdeb4d9cf5242c52d37fb4705661a8018
174,MIM/RGK,0x64243c2cf1a6bf5d5c537f8617f74db0f7523154
175,wMEMO/JOE,0x998542870912c50806800be82dc79eed82c992e4
176,pPOPS/WAVAX,0xfbbf95f1a2bd79fae772d14f18e38e8d4357a289
177,MIM/SDT,0x99f34cf42502225c9cdde2807321bb96011baca1
178,WAVAX/AES,0x22b97cd8e0dba9bb6d15eb97c94faa8182f48ab3
179,YAW100/DAI.e,0xcd588ce1786c302879cde8d90c179d863550852c
180,WAVAX/MOVR,0x34f06644d50c979f78aa007e5e61d0040762b15e
181,WAVAX/xPEFI,0xf152b27df4c6cb6a10bc7d573ea4fbf6569266cd
182,WETH.e/LINK.e,0xb266d875bb62497c9abbab7bd0da6e45391a9546
183,MIM/CROWN,0x53212695048d8637d2224dab157a7358df52901a
184,WETH.e/ICE,0x2c50f9fdd6aca6b69a1317b8ea58c42ea67c3d0d
185,MIM/SIPLEAN,0xdb6d6cfeb658860d16de46d203ab8e7f9decb6d4
