TOKEN_ADDRESS,DECIMALS
0xfb5aaf2d6a23d902605ca5c3d8a9c996c4a12722,18
0xddc6cb1105413c411b8569cd648106328014e3eb,3
0xd3eb76ffb3b8b166da2343947be8891c23fe7649,3
0xc8b3f558de3193e10723cbe57eac1920142121aa,18
0xd42220de5f5260ccc4c80fe3b08dae0968688d13,18
0xccbf1c9e8b4f2cdf3bfba1098b8f56f97d219d53,18
0xeca15e1bbff172d545dd6325f3bae7b737906737,18
0x7c4dd2774c21ce6aca5de80aec125a9ef4089fde,18
0xdbf3e320b9baa9e2bd2d3268d82dd99812b30662,18
0xd350596935f4a209ba970060e50dfbc1c0f1e3b9,18
0xfd4d80cc7b026255ba093bf435167e1334a4b596,9
0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,18
0xcec731825a542e365327c52ccf1634764376fc2c,18
0xf3628cfeec4e5cc4e3356c693d7d56a700b2cf1f,18
0xfed2b9ed4f3a6baa02543a9db86524dd790fcc65,9
0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,18
0xad29abb318791d579433d831ed122afeaf29dcfe,18
0xfd46f44a5ad3227a7325b695b6ea1aa549862309,9
0xfcf93a7ce9b1f5b80e7b1e630752d7045a2be985,18
0xde9a73272bc2f28189ce3c243e36fafda2485212,18
0xee9a17d0d9ec6dd1eda8e212f6d58243106eaafb,9
0xcfc95053888342d50718edcc75ba2d308a788955,18
0xbfd983790b35adb10594bdc38782072073bfef9c,15
0xbeecd9dfbbff6d583767e3c561a886079327c0e4,18
0xc4acd115f1ceebd4a88273423d6cf77c4a1c7559,8
0xd3af8e09894d69e937e37eef46df1cbf82b35c81,9
0x85eac5ac2f758618dfa09bdbe0cf174e7d574d5b,18
0xe1ffa7b1cdab9a8377703d9bad574f9f53aeb1dc,18
0xfbf0b0c2bdcc8474b58f8d5bfbce4c349a0c4ef1,9
0xcd2c2f212e265e5f9903f7c046b507ee07f3e748,2
0xf3b24e72140000495a0ec7a7b40c89bbea33598a,18
0xcc42724c6683b7e57334c4e856f4c9965ed682bd,18
0xc63f640861d4de72f591565711d0eb74c300fd0b,18
0xbda1bbb931778a6912538d811f871eb650269e4f,18
0x21561aef6b76b5e0a6285ef4bf0435624519bfb5,18
0xde79332df94e39b6a4ab460efb5ff1ffca4c2c98,18
0xe9914872699be897a71477a14049d503a24a1429,18
0xf81fd9ddf1d12c383c19595ccad7e4b194233eee,18
0xf21840f8844eae0225a323c10c6746d52eadb4e2,18
0x5a5b9c2608fd973ad18ef96f77cef83402a88fa2,18
0xf842fb22c4aa7d4c0054844ba63e669704c434d2,18
0xe62a9bc6ede534e18dd2793dcaf5a2b6df112180,18
0x5959e5baa4dc2b78a4aad0e6a3b61f0141191004,13
0xe45575869bfbd425d69e56a1715755d20bc69dfe,18
0xe30711b433dbb676490b1f49fc2b9eb20a7b203f,9
0xf09b7b6ba6dab7cccc3ae477a174b164c39f4c66,9
0xdcd289ecf644bec54393ba6ce8db35e9b5ff75e7,9
0xe8c932e10aae3a564b72f2f4e50ac448fb9f945f,18
0xd886d798d2bfd80d0cffc83bd2c165417797b3f8,9
